Surname,ApproximateNumber,%Frequency,Rank,Percent,Cumulative_percent
ROCA,2487,0.001,12341,1.46425747503441e-05,0.7568161185464336
ROCCO,4974,0.002,5937,2.92851495006882e-05,0.7568454036959343
ROCHA,29844,0.012,992,0.00017571089700412921,0.7570211145929384
ROCHELEAU,2487,0.001,18020,1.46425747503441e-05,0.7570357571676888
ROCHELLE,4974,0.002,6423,2.92851495006882e-05,0.7570650423171895
ROCHESTER,4974,0.002,6340,2.92851495006882e-05,0.7570943274666903
ROCHON,2487,0.001,11315,1.46425747503441e-05,0.7571089700414406
ROCK,19896,0.008,1662,0.0001171405980027528,0.7572261106394433
ROCKER,2487,0.001,16751,1.46425747503441e-05,0.7572407532141937
ROCKETT,2487,0.001,8172,1.46425747503441e-05,0.7572553957889441
ROCKEY,2487,0.001,18478,1.46425747503441e-05,0.7572700383636944
ROCKWOOD,2487,0.001,9640,1.46425747503441e-05,0.7572846809384448
RODARTE,4974,0.002,6109,2.92851495006882e-05,0.7573139660879455
RODAS,4974,0.002,7131,2.92851495006882e-05,0.7573432512374463
RODDEN,2487,0.001,16025,1.46425747503441e-05,0.7573578938121966
RODE,2487,0.001,10028,1.46425747503441e-05,0.757372536386947
RODER,2487,0.001,18477,1.46425747503441e-05,0.7573871789616974
RODGER,2487,0.001,11314,1.46425747503441e-05,0.7574018215364478
RODGERS,74610,0.03,365,0.00043927724251032304,0.7578410987789581
RODIGUEZ,2487,0.001,11643,1.46425747503441e-05,0.7578557413537085
RODNEY,2487,0.001,8356,1.46425747503441e-05,0.7578703839284588
RODRIGEZ,2487,0.001,7798,1.46425747503441e-05,0.7578850265032092
RODRIGUES,22383,0.009000000000000001,1389,0.0001317831727530969,0.7580168096759623
RODRIGUEZ,569523,0.22899999999999998,22,0.003353149617828799,0.7613699592937911
RODRIGUZ,2487,0.001,14199,1.46425747503441e-05,0.7613846018685415
RODRIQUES,2487,0.001,7649,1.46425747503441e-05,0.7613992444432919
RODRIQUEZ,92019,0.037000000000000005,289,0.0005417752657627317,0.7619410197090546
ROE,24870,0.01,1230,0.000146425747503441,0.762087445456558
ROEBUCK,4974,0.002,5020,2.92851495006882e-05,0.7621167306060588
ROEDER,2487,0.001,7797,1.46425747503441e-05,0.7621313731808091
ROEHL,2487,0.001,10712,1.46425747503441e-05,0.7621460157555595
ROEMER,2487,0.001,8253,1.46425747503441e-05,0.7621606583303099
ROEPKE,2487,0.001,12739,1.46425747503441e-05,0.7621753009050602
ROESCH,2487,0.001,9912,1.46425747503441e-05,0.7621899434798106
ROESLER,2487,0.001,9778,1.46425747503441e-05,0.762204586054561
ROESSLER,2487,0.001,12963,1.46425747503441e-05,0.7622192286293114
ROGALSKI,2487,0.001,14494,1.46425747503441e-05,0.7622338712040617
ROGAN,2487,0.001,8252,1.46425747503441e-05,0.7622485137788121
ROGERS,305901,0.12300000000000001,54,0.0018010366942923244,0.7640495504731044
ROGERSON,2487,0.001,11465,1.46425747503441e-05,0.7640641930478548
ROGGE,2487,0.001,10992,1.46425747503441e-05,0.7640788356226051
ROGOWSKI,2487,0.001,15063,1.46425747503441e-05,0.7640934781973555
ROGUE,2487,0.001,17167,1.46425747503441e-05,0.7641081207721059
ROHAN,2487,0.001,11464,1.46425747503441e-05,0.7641227633468562
