Surname,ApproximateNumber,%Frequency,Rank,Percent,Cumulative_percent
AARON,19896,0.008,1457,0.0001171405980027528,0.0001171405980027528
AARONS,2487,0.001,16270,1.46425747503441e-05,0.0001317831727530969
AASEN,2487,0.001,18371,1.46425747503441e-05,0.000146425747503441
ABAD,2487,0.001,9370,1.46425747503441e-05,0.0001610683222537851
ABADIE,2487,0.001,15943,1.46425747503441e-05,0.0001757108970041292
ABARCA,2487,0.001,9369,1.46425747503441e-05,0.00019035347175447328
ABATE,2487,0.001,15286,1.46425747503441e-05,0.00020499604650481737
ABBAS,2487,0.001,18370,1.46425747503441e-05,0.00021963862125516146
ABBATE,2487,0.001,7560,1.46425747503441e-05,0.00023428119600550556
ABBEY,4974,0.002,6457,2.92851495006882e-05,0.00026356634550619377
ABBOTT,62175,0.025,463,0.0003660643687586025,0.0006296307142647963
ABDALLAH,2487,0.001,16661,1.46425747503441e-05,0.0006442732890151405
ABDO,2487,0.001,14430,1.46425747503441e-05,0.0006589158637654846
ABDUL,2487,0.001,16660,1.46425747503441e-05,0.0006735584385158288
ABDULLAH,4974,0.002,5684,2.92851495006882e-05,0.000702843588016517
ABE,2487,0.001,11422,1.46425747503441e-05,0.0007174861627668611
ABEL,17409,0.006999999999999999,1774,0.0001024980232524087,0.0008199841860192698
ABELS,2487,0.001,11755,1.46425747503441e-05,0.000834626760769614
ABERCROMBIE,4974,0.002,5593,2.92851495006882e-05,0.0008639119102703021
ABERNATHY,17409,0.006999999999999999,1685,0.0001024980232524087,0.0009664099335227108
ABERNETHY,2487,0.001,8681,1.46425747503441e-05,0.000981052508273055
ABEYTA,4974,0.002,5639,2.92851495006882e-05,0.0010103376577737433
ABLE,2487,0.001,12109,1.46425747503441e-05,0.0010249802325240874
ABLES,4974,0.002,5638,2.92851495006882e-05,0.0010542653820247757
ABRAHAM,19896,0.008,1557,0.0001171405980027528,0.0011714059800275285
ABRAHAMS,2487,0.001,12108,1.46425747503441e-05,0.0011860485547778726
ABRAHAMSON,2487,0.001,10821,1.46425747503441e-05,0.0012006911295282168
ABRAM,4974,0.002,5683,2.92851495006882e-05,0.001229976279028905
ABRAMOWITZ,2487,0.001,18369,1.46425747503441e-05,0.0012446188537792492
ABRAMS,22383,0.009000000000000001,1369,0.0001317831727530969,0.001376402026532346
ABRAMSON,4974,0.002,5637,2.92851495006882e-05,0.0014056871760330344
ABREGO,4974,0.002,7443,2.92851495006882e-05,0.0014349723255337227
ABRIL,2487,0.001,15604,1.46425747503441e-05,0.0014496149002840668
ABRON,2487,0.001,10684,1.46425747503441e-05,0.001464257475034411
ABSHER,2487,0.001,7559,1.46425747503441e-05,0.001478900049784755
ABSHIRE,2487,0.001,8151,1.46425747503441e-05,0.0014935426245350992
ABSTON,2487,0.001,11119,1.46425747503441e-05,0.0015081851992854434
ACEVEDO,32331,0.013000000000000001,896,0.0001903534717544733,0.0016985386710399166
ACEVES,2487,0.001,9068,1.46425747503441e-05,0.0017131812457902608
ACHENBACH,2487,0.001,18368,1.46425747503441e-05,0.001727823820540605
ACHESON,2487,0.001,13599,1.46425747503441e-05,0.001742466395290949
ACKERMAN,22383,0.009000000000000001,1401,0.0001317831727530969,0.001874249568044046
ACKERMANN,2487,0.001,12282,1.46425747503441e-05,0.0018888921427943901
ACKERSON,2487,0.001,12487,1.46425747503441e-05,0.0019035347175447343
ACKLES,2487,0.001,17904,1.46425747503441e-05,0.0019181772922950784
ACKLIN,2487,0.001,9608,1.46425747503441e-05,0.0019328198670454226
ACKMAN,2487,0.001,16659,1.46425747503441e-05,0.0019474624417957667
ACORD,2487,0.001,7783,1.46425747503441e-05,0.001962105016546111
ACOSTA,54714,0.022000000000000002,519,0.0003221366445075702,0.002284241661053681
ACREE,4974,0.002,5136,2.92851495006882e-05,0.0023135268105543695
ACRES,2487,0.001,18839,1.46425747503441e-05,0.0023281693853047136
ACTON,4974,0.002,6720,2.92851495006882e-05,0.002357454534805402
ACUFF,2487,0.001,9265,1.46425747503441e-05,0.002372097109555746
ADAIR,17409,0.006999999999999999,1843,0.0001024980232524087,0.0024745951328081547
ADAMCZYK,2487,0.001,13365,1.46425747503441e-05,0.002489237707558499
ADAMEK,2487,0.001,17072,1.46425747503441e-05,0.002503880282308843
ADAMES,4974,0.002,6994,2.92851495006882e-05,0.0025331654318095313
ADAMO,2487,0.001,10267,1.46425747503441e-05,0.0025478080065598754
ADAMS,432738,0.174,36,0.0025478080065598737,0.005095616013119749
ADAMSKI,2487,0.001,9751,1.46425747503441e-05,0.005110258587870093
ADAN,2487,0.001,13364,1.46425747503441e-05,0.005124901162620437
ADCOX,2487,0.001,15603,1.46425747503441e-05,0.0051395437373707815
ADDINGTON,4974,0.002,6413,2.92851495006882e-05,0.00516882888687147
ADDIS,2487,0.001,8012,1.46425747503441e-05,0.005183471461621814
ADDISON,17409,0.006999999999999999,1872,0.0001024980232524087,0.005285969484874223
ADDY,2487,0.001,13123,1.46425747503441e-05,0.005300612059624567
ADELMAN,2487,0.001,11118,1.46425747503441e-05,0.005315254634374911
ADELSON,2487,0.001,13873,1.46425747503441e-05,0.005329897209125255
ADEN,2487,0.001,15003,1.46425747503441e-05,0.0053445397838755996
ADERHOLT,2487,0.001,15285,1.46425747503441e-05,0.005359182358625944
ADGER,2487,0.001,17071,1.46425747503441e-05,0.005373824933376288
ADKINS,72123,0.028999999999999998,394,0.0004246346677599789,0.005798459601136266
ADKINSON,2487,0.001,8862,1.46425747503441e-05,0.0058131021758866105
ADKISON,2487,0.001,9873,1.46425747503441e-05,0.005827744750636955
ADKISSON,2487,0.001,8976,1.46425747503441e-05,0.005842387325387299
ADOLPH,2487,0.001,16658,1.46425747503441e-05,0.005857029900137643
ADORNO,4974,0.002,5720,2.92851495006882e-05,0.005886315049638331
ADRIAN,4974,0.002,5972,2.92851495006882e-05,0.0059156001991390195
AGAN,2487,0.001,10132,1.46425747503441e-05,0.005930242773889364
AGAR,2487,0.001,18367,1.46425747503441e-05,0.005944885348639708
AGARWAL,2487,0.001,17070,1.46425747503441e-05,0.005959527923390052
AGER,2487,0.001,16657,1.46425747503441e-05,0.005974170498140396
AGIN,2487,0.001,18366,1.46425747503441e-05,0.00598881307289074
AGOSTINI,2487,0.001,13122,1.46425747503441e-05,0.006003455647641084
AGOSTO,4974,0.002,6507,2.92851495006882e-05,0.006032740797141773
AGUERO,2487,0.001,8975,1.46425747503441e-05,0.006047383371892117
AGUILA,2487,0.001,9067,1.46425747503441e-05,0.006062025946642461
AGUILAR,74610,0.03,359,0.00043927724251032304,0.006501303189152784
AGUINALDO,2487,0.001,16269,1.46425747503441e-05,0.006515945763903128
AGUIRRE,34818,0.013999999999999999,833,0.0002049960465048174,0.006720941810407945
AGUON,2487,0.001,17478,1.46425747503441e-05,0.006735584385158289
AGUSTIN,2487,0.001,9480,1.46425747503441e-05,0.006750226959908633
AHART,2487,0.001,17477,1.46425747503441e-05,0.006764869534658977
AHEARN,2487,0.001,8011,1.46425747503441e-05,0.006779512109409322
AHL,2487,0.001,17903,1.46425747503441e-05,0.006794154684159666
AHLERS,2487,0.001,8511,1.46425747503441e-05,0.00680879725891001
AHLSTROM,2487,0.001,15942,1.46425747503441e-05,0.006823439833660354
AHN,4974,0.002,5353,2.92851495006882e-05,0.006852724983161042
AHNER,4974,0.002,7294,2.92851495006882e-05,0.006882010132661731
AHO,2487,0.001,8087,1.46425747503441e-05,0.006896652707412075
AHUMADA,2487,0.001,9479,1.46425747503441e-05,0.006911295282162419
AICHELE,2487,0.001,17902,1.46425747503441e-05,0.006925937856912763
AIKENS,4974,0.002,5245,2.92851495006882e-05,0.006955223006413451
AIKIN,2487,0.001,18838,1.46425747503441e-05,0.0069698655811637955
AITKEN,2487,0.001,8510,1.46425747503441e-05,0.00698450815591414
AKBAR,2487,0.001,14699,1.46425747503441e-05,0.006999150730664484
AKE,2487,0.001,8086,1.46425747503441e-05,0.007013793305414828
AKER,2487,0.001,8415,1.46425747503441e-05,0.007028435880165172
AKERS,27357,0.011000000000000001,1085,0.0001610683222537851,0.007189504202418957
AKINS,19896,0.008,1556,0.0001171405980027528,0.00730664480042171
AKRIDGE,2487,0.001,12281,1.46425747503441e-05,0.007321287375172054
ALAIMO,2487,0.001,16268,1.46425747503441e-05,0.007335929949922398
ALAM,2487,0.001,15002,1.46425747503441e-05,0.007350572524672742
ALAMEDA,2487,0.001,14429,1.46425747503441e-05,0.0073652150994230866
ALAMO,2487,0.001,10537,1.46425747503441e-05,0.007379857674173431
ALANIS,4974,0.002,6135,2.92851495006882e-05,0.007409142823674119
ALATORRE,2487,0.001,14135,1.46425747503441e-05,0.007423785398424463
ALBAN,2487,0.001,15941,1.46425747503441e-05,0.007438427973174807
ALBANESE,4974,0.002,5320,2.92851495006882e-05,0.007467713122675496
ALBANO,2487,0.001,8228,1.46425747503441e-05,0.00748235569742584
ALBARADO,2487,0.001,14428,1.46425747503441e-05,0.007496998272176184
ALBARRAN,2487,0.001,13872,1.46425747503441e-05,0.007511640846926528
ALBAUGH,2487,0.001,8680,1.46425747503441e-05,0.007526283421676872
ALBEE,2487,0.001,10820,1.46425747503441e-05,0.007540925996427216
ALBER,2487,0.001,13871,1.46425747503441e-05,0.0075555685711775605
ALBERT,32331,0.013000000000000001,899,0.0001903534717544733,0.0077459220429320335
ALBERTO,2487,0.001,9607,1.46425747503441e-05,0.007760564617682378
ALBERTS,4974,0.002,5971,2.92851495006882e-05,0.007789849767183066
ALBERTY,2487,0.001,16656,1.46425747503441e-05,0.00780449234193341
ALBIN,2487,0.001,7704,1.46425747503441e-05,0.007819134916683753
ALBINO,2487,0.001,9478,1.46425747503441e-05,0.007833777491434097
ALBRIGHT,22383,0.009000000000000001,1342,0.0001317831727530969,0.007965560664187193
ALBRO,2487,0.001,10683,1.46425747503441e-05,0.007980203238937536
ALBURY,2487,0.001,17901,1.46425747503441e-05,0.00799484581368788
ALCANTAR,4974,0.002,5892,2.92851495006882e-05,0.008024130963188568
ALCANTARA,4974,0.002,6456,2.92851495006882e-05,0.008053416112689256
ALCARAZ,4974,0.002,5352,2.92851495006882e-05,0.008082701262189945
ALCAZAR,2487,0.001,15940,1.46425747503441e-05,0.008097343836940288
ALCOCER,2487,0.001,17900,1.46425747503441e-05,0.008111986411690631
ALCOCK,2487,0.001,16267,1.46425747503441e-05,0.008126628986440974
ALCOTT,2487,0.001,16655,1.46425747503441e-05,0.008141271561191318
ALDACO,2487,0.001,15939,1.46425747503441e-05,0.008155914135941661
ALDANA,2487,0.001,8679,1.46425747503441e-05,0.008170556710692004
ALDAY,2487,0.001,10819,1.46425747503441e-05,0.008185199285442347
ALDEN,4974,0.002,6993,2.92851495006882e-05,0.008214484434943036
ALDER,2487,0.001,10131,1.46425747503441e-05,0.008229127009693379
ALDERETE,2487,0.001,8678,1.46425747503441e-05,0.008243769584443722
ALDERSON,4974,0.002,5842,2.92851495006882e-05,0.00827305473394441
ALDRICH,17409,0.006999999999999999,1672,0.0001024980232524087,0.008375552757196819
ALDRIDGE,22383,0.009000000000000001,1400,0.0001317831727530969,0.008507335929949915
ALEGRIA,2487,0.001,11421,1.46425747503441e-05,0.008521978504700259
ALEJANDRE,2487,0.001,16266,1.46425747503441e-05,0.008536621079450602
ALEJANDRO,4974,0.002,5759,2.92851495006882e-05,0.00856590622895129
ALEJO,2487,0.001,11117,1.46425747503441e-05,0.008580548803701633
ALEJOS,2487,0.001,17899,1.46425747503441e-05,0.008595191378451977
ALERS,2487,0.001,18365,1.46425747503441e-05,0.00860983395320232
ALESHIRE,2487,0.001,14698,1.46425747503441e-05,0.008624476527952663
ALESSI,2487,0.001,7558,1.46425747503441e-05,0.008639119102703006
ALEX,4974,0.002,7442,2.92851495006882e-05,0.008668404252203695
ALEXANDER,211395,0.085,96,0.0012446188537792485,0.009913023105982943
ALEXANDRE,2487,0.001,12486,1.46425747503441e-05,0.009927665680733286
ALEXIS,2487,0.001,8677,1.46425747503441e-05,0.00994230825548363
ALFANO,2487,0.001,7926,1.46425747503441e-05,0.009956950830233973
ALFARO,17409,0.006999999999999999,1935,0.0001024980232524087,0.010059448853486381
ALFORD,32331,0.013000000000000001,894,0.0001903534717544733,0.010249802325240854
ALGARIN,2487,0.001,16654,1.46425747503441e-05,0.010264444899991197
ALI,17409,0.006999999999999999,1733,0.0001024980232524087,0.010366942923243605
ALIFF,2487,0.001,14134,1.46425747503441e-05,0.010381585497993949
ALKIRE,2487,0.001,10130,1.46425747503441e-05,0.010396228072744292
ALLAIN,2487,0.001,7925,1.46425747503441e-05,0.010410870647494635
ALLAIRE,2487,0.001,10682,1.46425747503441e-05,0.010425513222244978
ALLBRIGHT,2487,0.001,18837,1.46425747503441e-05,0.010440155796995322
ALLBRITTON,2487,0.001,12692,1.46425747503441e-05,0.010454798371745665
ALLDREDGE,2487,0.001,12691,1.46425747503441e-05,0.010469440946496008
ALLEE,2487,0.001,14427,1.46425747503441e-05,0.010484083521246352
ALLEMAN,4974,0.002,7174,2.92851495006882e-05,0.01051336867074704
ALLEN,494913,0.19899999999999998,27,0.002913872375318476,0.013427241046065515
ALLENDER,2487,0.001,13870,1.46425747503441e-05,0.013441883620815859
ALLEYNE,4974,0.002,5515,2.92851495006882e-05,0.013471168770316547
ALLGOOD,4974,0.002,5841,2.92851495006882e-05,0.013500453919817235
ALLIE,2487,0.001,11923,1.46425747503441e-05,0.013515096494567579
ALLIGOOD,2487,0.001,18364,1.46425747503441e-05,0.013529739069317922
ALLING,2487,0.001,16265,1.46425747503441e-05,0.013544381644068265
ALLIS,2487,0.001,17069,1.46425747503441e-05,0.013559024218818608
ALLISON,57201,0.023,495,0.00033677921925791434,0.013895803438076523
ALLMON,2487,0.001,9606,1.46425747503441e-05,0.013910446012826866
ALLOWAY,2487,0.001,10681,1.46425747503441e-05,0.01392508858757721
ALLRED,17409,0.006999999999999999,1889,0.0001024980232524087,0.014027586610829618
ALLSHOUSE,2487,0.001,17476,1.46425747503441e-05,0.014042229185579961
ALLSOP,2487,0.001,13869,1.46425747503441e-05,0.014056871760330304
ALLSUP,2487,0.001,18363,1.46425747503441e-05,0.014071514335080648
ALLUMS,2487,0.001,13868,1.46425747503441e-05,0.01408615690983099
ALM,2487,0.001,17475,1.46425747503441e-05,0.014100799484581334
ALMAGUER,2487,0.001,14426,1.46425747503441e-05,0.014115442059331677
ALMANZAR,2487,0.001,12280,1.46425747503441e-05,0.01413008463408202
ALMARAZ,4974,0.002,5891,2.92851495006882e-05,0.014159369783582709
ALMAZAN,2487,0.001,9750,1.46425747503441e-05,0.014174012358333052
ALMENDAREZ,2487,0.001,11603,1.46425747503441e-05,0.014188654933083395
ALMODOVAR,2487,0.001,10536,1.46425747503441e-05,0.014203297507833739
ALMON,2487,0.001,11116,1.46425747503441e-05,0.014217940082584082
ALMONTE,4974,0.002,5211,2.92851495006882e-05,0.01424722523208477
ALONGI,2487,0.001,17474,1.46425747503441e-05,0.014261867806835114
ALPERT,2487,0.001,8509,1.46425747503441e-05,0.014276510381585457
ALPHIN,2487,0.001,18836,1.46425747503441e-05,0.0142911529563358
ALSOP,2487,0.001,14697,1.46425747503441e-05,0.014305795531086143
ALSTON,34818,0.013999999999999999,883,0.0002049960465048174,0.014510791577590961
ALSUP,2487,0.001,7862,1.46425747503441e-05,0.014525434152341305
ALT,2487,0.001,11420,1.46425747503441e-05,0.014540076727091648
ALTAMIRANO,4974,0.002,6283,2.92851495006882e-05,0.014569361876592336
ALTER,2487,0.001,9169,1.46425747503441e-05,0.01458400445134268
ALTHOFF,2487,0.001,10535,1.46425747503441e-05,0.014598647026093023
ALTIERI,2487,0.001,11754,1.46425747503441e-05,0.014613289600843366
ALTIZER,2487,0.001,10680,1.46425747503441e-05,0.01462793217559371
ALTOM,2487,0.001,11753,1.46425747503441e-05,0.014642574750344053
ALTON,4974,0.002,5105,2.92851495006882e-05,0.014671859899844741
ALVA,2487,0.001,7632,1.46425747503441e-05,0.014686502474595084
ALVARADO,67149,0.027000000000000003,425,0.0003953495182592907,0.015081851992854375
ALVARDO,2487,0.001,9168,1.46425747503441e-05,0.015096494567604719
ALVARENGA,2487,0.001,13363,1.46425747503441e-05,0.015111137142355062
ALVARES,2487,0.001,11419,1.46425747503441e-05,0.015125779717105405
ALVAREZ,119376,0.048,220,0.0007028435880165169,0.01582862330512192
ALVEREZ,2487,0.001,7782,1.46425747503441e-05,0.015843265879872264
ALVERSON,2487,0.001,9167,1.46425747503441e-05,0.015857908454622607
ALVEY,2487,0.001,7861,1.46425747503441e-05,0.01587255102937295
ALVIS,2487,0.001,9166,1.46425747503441e-05,0.015887193604123294
ALVORD,2487,0.001,13598,1.46425747503441e-05,0.015901836178873637
AMADO,2487,0.001,11922,1.46425747503441e-05,0.01591647875362398
AMAKER,2487,0.001,18362,1.46425747503441e-05,0.015931121328374324
AMAN,2487,0.001,8974,1.46425747503441e-05,0.015945763903124667
AMANN,2487,0.001,11115,1.46425747503441e-05,0.01596040647787501
AMAR,2487,0.001,18361,1.46425747503441e-05,0.015975049052625354
AMARO,4974,0.002,6719,2.92851495006882e-05,0.01600433420212604
AMBLER,2487,0.001,12485,1.46425747503441e-05,0.016018976776876383
AMBRIZ,4974,0.002,5592,2.92851495006882e-05,0.01604826192637707
AMBROSE,14922,0.006,1969,8.785544850206461e-05,0.016136117374879133
AMBROSINO,2487,0.001,17473,1.46425747503441e-05,0.016150759949629476
AMBURGEY,2487,0.001,10009,1.46425747503441e-05,0.01616540252437982
AMEDEE,2487,0.001,12912,1.46425747503441e-05,0.016180045099130163
AMEN,2487,0.001,15284,1.46425747503441e-05,0.016194687673880506
AMEND,2487,0.001,18835,1.46425747503441e-05,0.01620933024863085
AMENDOLA,2487,0.001,15602,1.46425747503441e-05,0.016223972823381193
AMENT,2487,0.001,15601,1.46425747503441e-05,0.016238615398131536
AMERSON,4974,0.002,5758,2.92851495006882e-05,0.016267900547632223
AMES,24870,0.01,1286,0.000146425747503441,0.016414326295135662
AMEY,2487,0.001,8772,1.46425747503441e-05,0.016428968869886006
AMEZCUA,2487,0.001,11602,1.46425747503441e-05,0.01644361144463635
AMEZQUITA,2487,0.001,10955,1.46425747503441e-05,0.016458254019386692
AMICK,4974,0.002,7360,2.92851495006882e-05,0.01648753916888738
AMICO,2487,0.001,15001,1.46425747503441e-05,0.016502181743637722
AMIDON,2487,0.001,12279,1.46425747503441e-05,0.016516824318388065
AMIN,4974,0.002,6992,2.92851495006882e-05,0.016546109467888752
AMIS,2487,0.001,18834,1.46425747503441e-05,0.016560752042639095
AMMERMAN,2487,0.001,9872,1.46425747503441e-05,0.01657539461738944
AMMON,2487,0.001,14696,1.46425747503441e-05,0.01659003719213978
AMON,2487,0.001,14425,1.46425747503441e-05,0.016604679766890125
AMORE,2487,0.001,13362,1.46425747503441e-05,0.016619322341640468
AMOROSO,2487,0.001,12911,1.46425747503441e-05,0.01663396491639081
AMOS,24870,0.01,1266,0.000146425747503441,0.01678039066389425
AMUNDSEN,2487,0.001,13361,1.46425747503441e-05,0.016795033238644595
AMY,2487,0.001,13597,1.46425747503441e-05,0.016809675813394938
AN,2487,0.001,16653,1.46425747503441e-05,0.01682431838814528
ANAYA,17409,0.006999999999999999,1714,0.0001024980232524087,0.01692681641139769
ANCHETA,2487,0.001,9368,1.46425747503441e-05,0.016941458986148034
ANCHONDO,2487,0.001,13596,1.46425747503441e-05,0.016956101560898378
ANDERSEN,29844,0.012,1023,0.00017571089700412921,0.017131812457902507
ANDERSON,773457,0.311,11,0.004553840747357016,0.021685653205259524
ANDERTON,4974,0.002,5840,2.92851495006882e-05,0.02171493835476021
ANDES,2487,0.001,8973,1.46425747503441e-05,0.021729580929510554
ANDING,2487,0.001,18360,1.46425747503441e-05,0.021744223504260897
ANDINO,2487,0.001,7703,1.46425747503441e-05,0.02175886607901124
ANDRADE,27357,0.011000000000000001,1115,0.0001610683222537851,0.021919934401265027
ANDREAS,2487,0.001,10679,1.46425747503441e-05,0.02193457697601537
ANDREASEN,2487,0.001,11114,1.46425747503441e-05,0.021949219550765713
ANDRESEN,4974,0.002,6991,2.92851495006882e-05,0.0219785047002664
ANDRESS,2487,0.001,7631,1.46425747503441e-05,0.021993147275016743
ANDREWS,134298,0.054000000000000006,183,0.0007906990365185814,0.022783846311535325
ANDRZEJEWSKI,2487,0.001,15600,1.46425747503441e-05,0.02279848888628567
ANDUJAR,2487,0.001,10129,1.46425747503441e-05,0.022813131461036012
ANG,2487,0.001,18359,1.46425747503441e-05,0.022827774035786355
ANGE,2487,0.001,9871,1.46425747503441e-05,0.0228424166105367
ANGELES,4974,0.002,5381,2.92851495006882e-05,0.022871701760037385
ANGELL,4974,0.002,5135,2.92851495006882e-05,0.02290098690953807
ANGLE,4974,0.002,5173,2.92851495006882e-05,0.022930272059038758
ANGUIANO,4974,0.002,5380,2.92851495006882e-05,0.022959557208539445
ANGUS,2487,0.001,7781,1.46425747503441e-05,0.022974199783289788
ANKER,2487,0.001,18833,1.46425747503441e-05,0.02298884235804013
ANKNEY,2487,0.001,13121,1.46425747503441e-05,0.023003484932790474
ANNIS,4974,0.002,5682,2.92851495006882e-05,0.02303277008229116
ANNUNZIATA,2487,0.001,15599,1.46425747503441e-05,0.023047412657041504
ANSARI,2487,0.001,16264,1.46425747503441e-05,0.023062055231791848
ANSELL,2487,0.001,13867,1.46425747503441e-05,0.02307669780654219
ANSELMO,2487,0.001,9477,1.46425747503441e-05,0.023091340381292534
ANSLEY,4974,0.002,7051,2.92851495006882e-05,0.02312062553079322
ANSON,4974,0.002,6568,2.92851495006882e-05,0.023149910680293907
ANSPACH,2487,0.001,16652,1.46425747503441e-05,0.02316455325504425
ANSTETT,2487,0.001,17898,1.46425747503441e-05,0.023179195829794594
ANTHONY,54714,0.022000000000000002,528,0.0003221366445075702,0.023501332474302163
ANTLE,2487,0.001,17472,1.46425747503441e-05,0.023515975049052507
ANTON,4974,0.002,6667,2.92851495006882e-05,0.023545260198553193
ANTONE,2487,0.001,10818,1.46425747503441e-05,0.023559902773303536
ANTONELLI,2487,0.001,8861,1.46425747503441e-05,0.02357454534805388
ANTONUCCI,2487,0.001,11921,1.46425747503441e-05,0.023589187922804223
ANTUNEZ,2487,0.001,15283,1.46425747503441e-05,0.023603830497554566
ANWAR,2487,0.001,15282,1.46425747503441e-05,0.02361847307230491
ANZALONE,2487,0.001,10266,1.46425747503441e-05,0.023633115647055253
AOKI,2487,0.001,17897,1.46425747503441e-05,0.023647758221805596
APARICIO,4974,0.002,6774,2.92851495006882e-05,0.023677043371306283
APEL,2487,0.001,15000,1.46425747503441e-05,0.023691685946056626
APGAR,2487,0.001,17896,1.46425747503441e-05,0.02370632852080697
APPELL,2487,0.001,15938,1.46425747503441e-05,0.023720971095557312
APPERSON,2487,0.001,12910,1.46425747503441e-05,0.023735613670307656
APPLEBAUM,2487,0.001,18358,1.46425747503441e-05,0.023750256245058
APPLEBY,4974,0.002,5210,2.92851495006882e-05,0.023779541394558686
APPLEWHITE,4974,0.002,5040,2.92851495006882e-05,0.023808826544059372
APPLIN,2487,0.001,14695,1.46425747503441e-05,0.023823469118809715
APPLING,4974,0.002,7233,2.92851495006882e-05,0.023852754268310402
APRIL,2487,0.001,18357,1.46425747503441e-05,0.023867396843060745
AQUILAR,2487,0.001,8085,1.46425747503441e-05,0.02388203941781109
AQUIRRE,2487,0.001,15937,1.46425747503441e-05,0.023896681992561432
ARAGON,14922,0.006,1977,8.785544850206461e-05,0.023984537441063495
ARAIZA,2487,0.001,7702,1.46425747503441e-05,0.023999180015813838
ARAKAKI,2487,0.001,15598,1.46425747503441e-05,0.02401382259056418
ARAMBULA,2487,0.001,12690,1.46425747503441e-05,0.024028465165314525
ARANA,4974,0.002,6826,2.92851495006882e-05,0.02405775031481521
ARANGO,2487,0.001,8010,1.46425747503441e-05,0.024072392889565555
ARANT,2487,0.001,16263,1.46425747503441e-05,0.024087035464315898
ARBOGAST,4974,0.002,5134,2.92851495006882e-05,0.024116320613816584
ARBOUR,2487,0.001,15936,1.46425747503441e-05,0.024130963188566928
ARBUCKLE,2487,0.001,7924,1.46425747503441e-05,0.02414560576331727
ARCAND,2487,0.001,17471,1.46425747503441e-05,0.024160248338067614
ARCENEAUX,4974,0.002,6049,2.92851495006882e-05,0.0241895334875683
ARCEO,2487,0.001,14133,1.46425747503441e-05,0.024204176062318644
ARCHAMBAULT,2487,0.001,7860,1.46425747503441e-05,0.024218818637068987
ARCHER,29844,0.012,1019,0.00017571089700412921,0.024394529534073117
ARCHEY,2487,0.001,14999,1.46425747503441e-05,0.02440917210882346
ARCINIEGA,2487,0.001,9066,1.46425747503441e-05,0.024423814683573804
ARCURI,2487,0.001,13120,1.46425747503441e-05,0.024438457258324147
ARD,4974,0.002,5839,2.92851495006882e-05,0.024467742407824834
ARDEN,2487,0.001,11920,1.46425747503441e-05,0.024482384982575177
ARDIS,2487,0.001,14424,1.46425747503441e-05,0.02449702755732552
ARDITO,2487,0.001,15281,1.46425747503441e-05,0.024511670132075863
ARDOIN,4974,0.002,5800,2.92851495006882e-05,0.02454095528157655
ARECHIGA,2487,0.001,16651,1.46425747503441e-05,0.024555597856326893
AREHART,2487,0.001,17470,1.46425747503441e-05,0.024570240431077237
ARELLANO,19896,0.008,1493,0.0001171405980027528,0.02468738102907999
ARENA,4974,0.002,6666,2.92851495006882e-05,0.024716666178580676
ARENAS,4974,0.002,7441,2.92851495006882e-05,0.024745951328081363
AREND,2487,0.001,14423,1.46425747503441e-05,0.024760593902831706
ARENDS,2487,0.001,11601,1.46425747503441e-05,0.02477523647758205
ARENDT,2487,0.001,13866,1.46425747503441e-05,0.024789879052332393
ARENT,2487,0.001,17469,1.46425747503441e-05,0.024804521627082736
ARGO,4974,0.002,7232,2.92851495006882e-05,0.024833806776583423
ARGUELLES,2487,0.001,9264,1.46425747503441e-05,0.024848449351333766
ARGUELLO,4974,0.002,6718,2.92851495006882e-05,0.024877734500834452
ARGUETA,4974,0.002,6773,2.92851495006882e-05,0.02490701965033514
ARIAS,24870,0.01,1228,0.000146425747503441,0.02505344539783858
ARISPE,2487,0.001,10394,1.46425747503441e-05,0.025068087972588922
ARIZMENDI,2487,0.001,18832,1.46425747503441e-05,0.025082730547339265
ARLEDGE,2487,0.001,13595,1.46425747503441e-05,0.02509737312208961
ARLINE,2487,0.001,10128,1.46425747503441e-05,0.025112015696839952
ARMAND,2487,0.001,10817,1.46425747503441e-05,0.025126658271590295
ARMAS,2487,0.001,12909,1.46425747503441e-05,0.02514130084634064
ARMBRUSTER,4974,0.002,6567,2.92851495006882e-05,0.025170585995841325
ARMENDARIZ,4974,0.002,5071,2.92851495006882e-05,0.02519987114534201
ARMENTROUT,2487,0.001,7780,1.46425747503441e-05,0.025214513720092355
ARMER,2487,0.001,14132,1.46425747503441e-05,0.025229156294842698
ARMES,2487,0.001,9165,1.46425747503441e-05,0.02524379886959304
ARMISTEAD,2487,0.001,9749,1.46425747503441e-05,0.025258441444343385
ARMITAGE,2487,0.001,7557,1.46425747503441e-05,0.025273084019093728
ARMOR,2487,0.001,18831,1.46425747503441e-05,0.02528772659384407
ARMOUR,4974,0.002,5379,2.92851495006882e-05,0.025317011743344758
ARMS,2487,0.001,7859,1.46425747503441e-05,0.0253316543180951
ARMSTRONG,131811,0.053,188,0.0007760564617682374,0.02610771077986334
ARMWOOD,2487,0.001,17468,1.46425747503441e-05,0.026122353354613683
ARNER,2487,0.001,18830,1.46425747503441e-05,0.026136995929364026
ARNESON,2487,0.001,9476,1.46425747503441e-05,0.02615163850411437
ARNETTE,2487,0.001,8227,1.46425747503441e-05,0.026166281078864713
ARNEY,2487,0.001,13119,1.46425747503441e-05,0.026180923653615056
